marca-id;marca-descr
1;Lar
2;Friboi
3;BRF - Sadia
4;BRF - Perdigão
5;BRF - Qualy
6;BRF - Deline
7;BRF - Claybom
8;BRF - Becel
9;BRF - Sofiteli
10;Friboi - Do Chef
11;Friboi - Maturatta
12;Friboi - 1953
13;Friboi - Black
14;Friboi - Bertin
15;Friboi - Anglo
16;Friboi - Bordon
17;Friboi - Seara
18;Friboi - C.Vale
19;Friboi - Friella
20;Friboi - Guibon
21;Friboi - Diplomata
22;Friboi - Lar
23;Friboi - Pioneiro
24;Friboi - Alibem
25;Friboi - Luzitania
26;Friboi - Friall
27;Friboi - Frimesa
28;Friboi - Natville
29;Friboi - Lebon
30;Friboi - Planalto
31;Friboi - Big Frango
32;Friboi - Frangosul
33;Friboi - Tama
34;Friboi - Canção
35;Friboi - Friato
36;Friboi - Palmali
37;Friboi - Rezende
38;Friboi - Rico
39;Friboi - Macedo
40;Friboi - Avivip
41;Friboi - Dicasa
42;Friboi - Adeel
43;Friboi - Flamboiã
44;Friboi - Jaguá
45;Friboi - Saudali
46;Friboi - Lamb Weston
47;Friboi - Mauricea
48;Friboi - Prime Fries
49;Friboi - Gujão
50;Friboi - Quality Fries
51;Friboi - Naturaves
52;Friboi - Suinco
53;Friboi - Nutribras
54;Friboi - Três Barras
55;Friboi - Latto
56;Friboi - Aurora
57;Friboi - Cool Mind
58;Friboi - Grano
59;Friboi - Easychef
60;Friboi - Itabom
61;Friboi - Gran Corte
62;Friboi - Frigoleste
63;Friboi - Bjp
64;Friboi - Mandaka
65;Friboi - Mandaká
66;Friboi - Carregosa
67;Friboi - Peixes Brasil
68;Friboi - Real Alimentos
69;Friboi - Ave Nova
70;Friboi - Rivelli
71;Friboi - Tambau
72;Friboi - Piloto
73;Friboi - Frivatti
74;Friboi - Qualy Mares
75;Friboi - Asa Branca
76;Friboi - Frango De Ouro
77;Friboi - Delícia
78;Friboi - Cremosy
79;Friboi - Primor
80;Friboi - Soya
81;Friboi - Bello
82;Friboi - Levo
83;Friboi - Davaca
84;Friboi - Kispeto
85;Friboi - Kitut
86;Friboi - Leardini
87;Friboi - Amai
88;Friboi - Salada
89;Friboi - Cristaulat
90;Friboi - Cukin
91;Friboi - Domilac
92;Friboi - Império
93;Friboi - Simplot
94;Friboi - Alliz
95;Friboi - Unalac
96;Friboi - Porto Belo Pescados
97;Friboi - Frinense
98;Friboi - Somave
99;Friboi - Marfresco
100;Friboi - My Pork
101;Friboi - Porto Belo
102;Friboi - Cançao
103;Friboi - Le Gour
104;Friboi - Francap
105;Friboi - Dh Fish
106;Friboi - Seafood Center
107;Friboi - La Paulina
108;Friboi - Marfree
109;Friboi - Fricasa
110;Friboi - Litoral
111;Friboi - Riviera
112;Friboi - Valupi
113;Friboi - Doceoli
114;Friboi - Cataby
115;Friboi - Araçá
116;Friboi - Ninefish
117;Friboi - Frigoyi
118;Friboi - Lagubras
119;Friboi - Frumar
120;Friboi - Avivar
121;Friboi - Farm Frites
122;Friboi - Do Valle
123;Friboi - Nat
124;Friboi - Mantiqueira
125;Friboi - Suprema
126;Friboi - Perola
127;Friboi - Aquapesca
128;Friboi - Ouro Bom
129;Friboi - Italac
130;Friboi - Yingmin
131;Friboi - Millano
132;Friboi - Estrela Alimentos
133;Friboi - Tina E Rolf
