ean;qtd_duplicatas;marca_descr;produto_classe;produto_dun;produto_conservacao;produto_descr
7891515195274;4;BRF - Perdigão;Aves;;Congelado;Chester Inteiro Perdigão Tradicional 18kg a 25,2 kg
7891515195274;4;BRF - Perdigão;Aves;;Congelado;Chester Tradicional 3 kg a 3,6 kg
7891515195274;4;BRF - Perdigão;Aves;;Congelado;Chester Tradicional 3,6 kg a 3,9 kg
7891515195274;4;BRF - Perdigão;Aves;;Congelado;Chester Tradicional 3,9 kg a 4,2 kg
7891515538736;4;BRF - Sadia;Aves;;Congelado;Frango Int S/Miudos Temp Cong Pvar Sd
7891515538736;4;BRF - Sadia;Aves;;Congelado;Frango Inteiro S/Miudos Temp Cong Sadia
7891515538736;4;BRF - Sadia;Aves;;Congelado;Frango Inteiro Temperado s/ Miúdos Sadia Peso 1,85kg -Caixa c/7
7891515538736;4;BRF - Sadia;Aves;;Congelado;Frango Temperado Sadia Caixa 13Kg -Caixa c/5
0789956724968;3;Friboi - Do Chef;Outros;;Congelado;FILÉ DE MERLUZA (60 A 200g) SEM PELE (800G) - DO CHEF
0789956724968;3;Friboi - Do Chef;Aves;;Congelado;FILÉ DE MERLUZA (60 A 200g) SEM PELE PACOTE (800G) - DO CHEF
0789956724968;3;Friboi - Do Chef;Pescados;;Congelado;Filé De Merluza Sem Pele De 60 A 200G Pacote (800G) - Do Chef
7891515610715;3;BRF - Perdigão;Outros;;Seco;Jerked Beef Ponta De Agulha Perdigão Montana
7891515610715;3;BRF - Perdigão;Outros;;Seco;Jerked Beef Ponta De Agulha Perdigão Montana - 30kg
7891515610715;3;BRF - Perdigão;Aves;;Seco;Peito Jerked Beef Dianteiro Perdigão Montana
7891515767600;3;BRF - Perdigão;Suínos;;Resfriado;Bacon Defumado Manta Perdigão
7891515767600;3;BRF - Perdigão;Suínos;;Resfriado;Bacon Defumado Manta Perdigão 13kg -Caixa c/4
7891515767600;3;BRF - Perdigão;Suínos;;Resfriado;Bacon Defumado Manta Perdigão 14kg -Caixa c/4
7891515937904;3;BRF - Perdigão;Aves;;Congelado;Chester Azeite e Ervas 3 kg a 3,6 kg
7891515937904;3;BRF - Perdigão;Aves;;Congelado;Chester Azeite e Ervas 3,6 kg a 3,9 kg
7891515937904;3;BRF - Perdigão;Aves;;Congelado;Chester Azeite e Ervas 3,9 kg a 4,2 kg
0789603122384;2;Friboi - Maturatta;Bovinos;;Congelado;Linguiça Bovina (300G) - Maturatta
0789603122384;2;Friboi - Maturatta;Bovinos;;Congelado;Linguiça De Costela Bovina (300G) - Maturatta
0789956720559;2;Friboi;Bovinos;;Resfriado;Jerked Beef Ponta De Agulha (30Kg) - Friboi
0789956720559;2;Friboi;Bovinos;;Resfriado;Jerked Beef Retalho (30Kg) - Friboi
0789956723259;2;Friboi - Do Chef;Outros;;Congelado;Batata Palito 9Mm Pacote (2Kg) - Do Chef
0789956723259;2;Friboi - Do Chef;Outros;;Congelado;Batata Tradicional 9Mm Pacote (2Kg) - Do Chef
0789956724972;2;Friboi - Do Chef;Pescados;;Congelado;Filé De Tilápia Sem Pele Pacote (500G) - Do Chef
0789956724972;2;Friboi - Do Chef;Aves;;Congelado;Filé De Tilápia Sem Pele Pacote 500G (Planalto) - Do Chef
0789956724973;2;Friboi - Do Chef;Pescados;;Congelado;Filé De Tilápia Sem Pele Pacote (800G) - Do Chef
0789956724973;2;Friboi - Do Chef;Aves;;Congelado;Filé De Tilápia Sem Pele Pacote (800G) - Planalto
0789956724997;2;Friboi - Do Chef;Aves;;Congelado;Filé De Merluza (60 A 200G) Sem Pele Interfolhado - Do Chef
0789956724997;2;Friboi - Do Chef;Pescados;;Congelado;Filé De Merluza Sem Pele Interfolhado (60 A 200G) - Do Chef
5602772055698;2;BRF - Sadia;Suínos;;Seco;Lombo De Bacalhau Dessalgado Cg Soguima
5602772055698;2;BRF - Sadia;Suínos;;Congelado;Lombo De Bacalhau Dessalgado Soguima
5602772409644;2;BRF - Sadia;Outros;;Seco;Posta De Bacalhau Dessalgado Cg 600G Soguima
5602772409644;2;BRF - Sadia;Outros;;Congelado;Posta De Bacalhau Dessalgado Soguima
7891515016715;2;BRF - Sadia;Aves;;Resfriado;Peito Fgo Defumado Ouro Pd Resf Pc 2,6Kg
7891515016715;2;BRF - Perdigão;Aves;;Resfriado;Peito de Frango Defumado Perdigão 2,6Kg -Caixa c/2
7891515023614;2;BRF - Perdigão;Aves;;Congelado;Costela Sui Cong Nabrasa Pd Pvar
7891515023614;2;BRF - Perdigão;Aves;;Congelado;Costela Suína Perdigão Na Brasa Caixa 10kg
7891515359096;2;BRF - Perdigão;Bovinos;;Congelado;Costela Sui Cong Perd Pvar
7891515359096;2;BRF - Perdigão;Bovinos;;Congelado;Costela Suína Perdigão Caixa 10Kg -Caixa c/7
7891515477530;2;BRF - Sadia;Outros;;Congelado;Retalho Cost Sui Premium Cong Sd Pvar FS
7891515477530;2;BRF - Sadia;Bovinos;;Congelado;Retalho de Costela Suíno Premium Food Service Sadia Caixa 12Kg -Caixa c/1
7891515477547;2;BRF - Sadia;Bovinos;;Congelado;Retalho Costela Suína Itf Cong Sd Pvar FS
7891515477547;2;BRF - Sadia;Bovinos;;Congelado;Retalho de Costela Suíno Food Service Sadia Caixa 12Kg -Caixa c/1
7891515498139;2;BRF - Perdigão;Aves;;Congelado;Asa Int Peru Itf Cong Perd Pvar
7891515498139;2;BRF - Perdigão;Aves;;Congelado;Asa Inteira de Peru Perdigão Caixa 10kg -Caixa c/1
